Semana,Año,Fecha_Lunes_Inicio
1,2026,2025-12-29
2,2026,2026-01-05
3,2026,2026-01-12
4,2026,2026-01-19
5,2026,2026-01-26
6,2026,2026-02-02
7,2026,2026-02-09
8,2026,2026-02-16
9,2026,2026-02-23
10,2026,2026-03-02
11,2026,2026-03-09
12,2026,2026-03-16
13,2026,2026-03-23
14,2026,2026-03-30
15,2026,2026-04-06
16,2026,2026-04-13
17,2026,2026-04-20
18,2026,2026-04-27
19,2026,2026-05-04
20,2026,2026-05-11
21,2026,2026-05-18
22,2026,2026-05-25
23,2026,2026-06-01
24,2026,2026-06-08
25,2026,2026-06-15
26,2026,2026-06-22
27,2026,2026-06-29
28,2026,2026-07-06
29,2026,2026-07-13
30,2026,2026-07-20
31,2026,2026-07-27
32,2026,2026-08-03
33,2026,2026-08-10
34,2026,2026-08-17
35,2026,2026-08-24
36,2026,2026-08-31
37,2026,2026-09-07
38,2026,2026-09-14
39,2026,2026-09-21
40,2026,2026-09-28
41,2026,2026-10-05
42,2026,2026-10-12
43,2026,2026-10-19
44,2026,2026-10-26
45,2026,2026-11-02
46,2026,2026-11-09
47,2026,2026-11-16
48,2026,2026-11-23
49,2026,2026-11-30
50,2026,2026-12-07
51,2026,2026-12-14
52,2026,2026-12-21
53,2026,2026-12-28
